DL,FE Layer,Feature Dim,ML,Accuracy,Precision,Recall,F1,F1 Macro,F1 Weighted,ROC-AUC,CV Fit (s),CV Score (s),Total (s),FE Time (s),Train+Test (s)
efficientnetb0,top_activation,1280,SVM (RBF),0.9886666666666668,0.98421633800544,0.9933333333333334,0.9887327475465676,0.988666075879466,0.988666075879466,0.9996177777777776,87.2392303943634,8.729200601577759,55.33816470800002,432.22983997,95.97
efficientnetb0,top_activation,1280,Random Forest,0.9786666666666668,0.9749381409236696,0.9826666666666668,0.9787658381642526,0.9786658332936088,0.978665833293609,0.9979088888888888,138.31718373298645,0.8089916706085205,77.69959780700015,432.22983997,139.13
efficientnetb0,top_activation,1280,XGBoost,0.982,0.983308135484928,0.9806666666666668,0.9819753137384156,0.9819997592508124,0.9819997592508124,0.9984955555555556,117.92695021629332,0.2588505744934082,65.95155884300016,432.22983997,118.19
efficientnetb0,top_activation,1280,KNN (k=5),0.9753333333333332,0.9804769243734398,0.97,0.9751955251781216,0.9753322017622814,0.9753322017622814,0.9922788888888888,0.4581832885742187,2.6996212005615234,1.8118523160001128,432.22983997,3.16
efficientnetb0,top_activation,1280,Logistic Regression,0.9873333333333332,0.9866973213453256,0.988,0.9873410150198004,0.9873332370352262,0.9873332370352262,0.9980022222222222,1.3499135971069336,0.291363000869751,0.9256502089999684,432.22983997,1.64
xception,block14_sepconv2_act,2048,SVM (RBF),0.983,0.9776277697858256,0.9886666666666668,0.983098560157028,0.9829991063796658,0.9829991063796658,0.9985666666666668,146.38630509376526,18.66328001022339,91.86219368999993,49.363414656999794,165.05
xception,block14_sepconv2_act,2048,Random Forest,0.9576666666666668,0.9556716774246636,0.96,0.9577870365453194,0.9576642451282452,0.9576642451282452,0.9925677777777778,153.41056156158447,1.0121440887451172,85.66058458700036,49.363414656999794,154.42
xception,block14_sepconv2_act,2048,XGBoost,0.97,0.9701862975478612,0.97,0.970057363904404,0.9699984609239722,0.9699984609239722,0.9949377777777778,247.7686462402344,0.2700824737548828,139.23003440000002,49.363414656999794,248.04
xception,block14_sepconv2_act,2048,KNN (k=5),0.9706666666666668,0.9776700495217812,0.9633333333333332,0.9704414159574872,0.9706647665053246,0.9706647665053246,0.991391111111111,0.74176025390625,3.978055000305176,2.642641989999902,49.363414656999794,4.72
xception,block14_sepconv2_act,2048,Logistic Regression,0.9813333333333334,0.982014483631762,0.9806666666666668,0.9813275018488024,0.9813330574012704,0.9813330574012704,0.996822222222222,2.035411834716797,0.2312357425689697,1.388243164999949,49.363414656999794,2.27
inceptionv3,mixed10,2048,SVM (RBF),0.9863333333333332,0.9802626567324234,0.9926666666666666,0.9864188041608306,0.9863326879212908,0.9863326879212908,0.9987244444444444,151.7283754348755,21.23760199546814,94.40330377500004,31.326094565999938,172.97
inceptionv3,mixed10,2048,Random Forest,0.9613333333333334,0.9584460835169551,0.9646666666666668,0.961481672348318,0.961330553409589,0.961330553409589,0.9925355555555556,172.12510800361633,0.9342889785766602,96.159168614,31.326094565999938,173.06
inceptionv3,mixed10,2048,XGBoost,0.9723333333333332,0.9707910259428896,0.974,0.9723745179064088,0.9723328490497642,0.9723328490497644,0.9950444444444444,259.26345896720886,0.3399496078491211,146.536193853,31.326094565999938,259.6
inceptionv3,mixed10,2048,KNN (k=5),0.9786666666666668,0.9786662530245922,0.9786666666666668,0.9786621241906552,0.9786665685178138,0.9786665685178138,0.9950977777777776,0.4833264350891113,2.9075424671173096,2.0240115759997934,31.326094565999938,3.39
inceptionv3,mixed10,2048,Logistic Regression,0.978,0.9767731903478925,0.9793333333333332,0.9780295189122026,0.9779995166435328,0.9779995166435326,0.9956222222222224,1.9619593620300293,0.2373034954071045,1.3457653010000286,31.326094565999938,2.2
vgg19,block5_pool,512,SVM (RBF),0.9826666666666668,0.9782256525435252,0.9873333333333332,0.9827471855655472,0.9826660703400084,0.9826660703400084,0.9962177777777776,32.48717164993286,6.267264127731323,21.67961309999964,49.40939655500006,38.75
vgg19,block5_pool,512,Random Forest,0.9673333333333334,0.962722830583336,0.9726666666666668,0.9675168458805612,0.9673267552385036,0.967326755238504,0.994952222222222,63.9190571308136,1.0246031284332275,36.72806846000003,49.40939655500006,64.94
vgg19,block5_pool,512,XGBoost,0.9773333333333334,0.9780893102473176,0.9766666666666666,0.9773037016067144,0.9773314868517032,0.9773314868517032,0.9961466666666666,49.03457999229431,0.2209675312042236,28.31315371999972,49.40939655500006,49.26
vgg19,block5_pool,512,KNN (k=5),0.9683333333333332,0.9909101801604134,0.9453333333333334,0.9675566350629128,0.96831435069364,0.96831435069364,0.9936833333333333,0.1259760856628418,0.8418986797332764,0.6640674949999266,49.40939655500006,0.97
vgg19,block5_pool,512,Logistic Regression,0.9786666666666668,0.9768251630029614,0.9806666666666668,0.9786831431877432,0.9786653628417988,0.9786653628417988,0.9943355555555556,0.4681954383850097,0.1302011013031005,0.3543655849998686,49.40939655500006,0.6
