Method,ML,Feature dim,Accuracy,Precision,Recall,F1,F1 Macro,F1 Weighted,ROC-AUC,Total (s)
GLCM (texture),SVM (RBF),20,0.7546666666666667,0.7241386720490494,0.8226666666666667,0.7701949783144822,0.753508211018928,0.753508211018928,0.8322577777777778,21.80012583200005
GLCM (texture),Random Forest,20,0.9450000000000001,0.9372149760810767,0.954,0.9454917428973465,0.9449933046648435,0.9449933046648435,0.9837988888888889,16.760590868999316
GLCM (texture),XGBoost,20,0.95,0.9470550837288899,0.9533333333333334,0.9501065039685261,0.9499953733029954,0.9499953733029957,0.9789244444444444,2.556915088999631
GLCM (texture),KNN (k=5),20,0.8913333333333332,0.9002652819650028,0.8806666666666667,0.890174863006159,0.8913012263507347,0.8913012263507347,0.9570511111111111,0.23875925699940126
GLCM (texture),Logistic Regression,20,0.6946666666666667,0.6825743417390797,0.728,0.7043515117065919,0.6942309762708356,0.6942309762708356,0.7572355555555556,0.2381347040000037
Hu Moments (shape),SVM (RBF),7,0.8296666666666667,0.8415716544309287,0.8126666666666666,0.8267831737619099,0.829601963243566,0.829601963243566,0.9004844444444444,3.761293094999928
Hu Moments (shape),Random Forest,7,0.9733333333333334,0.9696803917418656,0.9773333333333334,0.9734653876443223,0.9733320443471521,0.973332044347152,0.9955166666666667,8.051188413999625
Hu Moments (shape),XGBoost,7,0.9716666666666667,0.9720583220153513,0.9713333333333333,0.971649173364068,0.9716652970223965,0.9716652970223963,0.9905733333333332,1.3932799340000201
Hu Moments (shape),KNN (k=5),7,0.8653333333333334,0.8758322141169973,0.852,0.8636201280898176,0.8652956893717445,0.8652956893717446,0.9380611111111111,0.23870957200051635
Hu Moments (shape),Logistic Regression,7,0.7626666666666667,0.7636763256260328,0.7613333333333333,0.7620871067558539,0.7625339266207012,0.7625339266207013,0.8236666666666667,0.11301886399996874
Stats (intensity),SVM (RBF),37,0.8880000000000001,0.8794338782517119,0.9,0.8893098011814227,0.8879427276413345,0.8879427276413345,0.9433822222222222,5.260563935999926
Stats (intensity),Random Forest,37,0.9753333333333334,0.9711109850110324,0.9799999999999999,0.9754773316835381,0.975330619557752,0.9753306195577522,0.9962988888888888,14.249710356999458
Stats (intensity),XGBoost,37,0.974,0.9697457625024999,0.9786666666666666,0.9741344873383968,0.9739977940645366,0.9739977940645366,0.9930933333333334,3.0025799410004765
Stats (intensity),KNN (k=5),37,0.9346666666666665,0.9401268037376613,0.9286666666666668,0.9342696623476876,0.9346587111781911,0.9346587111781911,0.9803811111111113,0.27007040199987387
Stats (intensity),Logistic Regression,37,0.785,0.7888399127307121,0.7813333333333332,0.7841968082968568,0.7847410602001231,0.784741060200123,0.8620444444444445,0.24582655799986242
HOG (edge),SVM (RBF),1764,0.978,0.9718484440628204,0.9846666666666666,0.978175443548573,0.977997632862772,0.977997632862772,0.9973000000000001,154.3044801420001
HOG (edge),Random Forest,1764,0.95,0.9321523954987171,0.9713333333333333,0.9511691900265846,0.9499611633817455,0.9499611633817455,0.9887877777777778,115.0794032799995
HOG (edge),XGBoost,1764,0.9666666666666668,0.9600325270673356,0.9739999999999999,0.9669276892937744,0.9666631955474561,0.9666631955474561,0.9925888888888889,213.14360258799934
HOG (edge),KNN (k=5),1764,0.9559999999999998,0.9777273421485161,0.9333333333333333,0.9549402637604144,0.9559732079231793,0.9559732079231793,0.9904844444444443,4.151030955001261
HOG (edge),Logistic Regression,1764,0.9493333333333333,0.9582477261397141,0.9400000000000001,0.9488370029737379,0.9493184273363326,0.9493184273363326,0.9833777777777778,3.152660307001497
Gabor (frequency),SVM (RBF),32,0.8023333333333333,0.8049068929550399,0.7979999999999999,0.8011793561694465,0.8022670786739985,0.8022670786739985,0.8644155555555557,5.79960210200079
Gabor (frequency),Random Forest,32,0.9533333333333334,0.9446660708079572,0.9633333333333333,0.9538286748603794,0.9533240766595592,0.9533240766595593,0.9871533333333332,14.126651972001127
Gabor (frequency),XGBoost,32,0.9433333333333334,0.9341518525075209,0.9540000000000001,0.9438745438487866,0.9433221158027025,0.9433221158027028,0.9814911111111112,3.1172980850005843
Gabor (frequency),KNN (k=5),32,0.8896666666666666,0.9179777114497849,0.8566666666666667,0.8855653326727081,0.8894561120099411,0.8894561120099411,0.955158888888889,0.23623973499888962
Gabor (frequency),Logistic Regression,32,0.7946666666666666,0.809813927001346,0.7713333333333333,0.7895584410815053,0.7944298022874692,0.7944298022874692,0.8570866666666668,0.2506491329986602
LBP (local),SVM (RBF),10,0.7906666666666666,0.7584979699514632,0.8533333333333335,0.8030598027214934,0.7898112759596373,0.7898112759596373,0.8618600000000001,7.50783193999996
LBP (local),Random Forest,10,0.9226666666666666,0.9108847995513214,0.9373333333333334,0.9238459009685416,0.9226408127056631,0.9226408127056631,0.9720577777777777,7.802275854000982
LBP (local),XGBoost,10,0.9179999999999999,0.9178643127950294,0.9186666666666665,0.9181326771336366,0.9179870810870778,0.9179870810870778,0.9664422222222223,1.4235792530016624
LBP (local),KNN (k=5),10,0.9173333333333333,0.9158390950400968,0.9193333333333333,0.9175368498440598,0.9173290792506101,0.9173290792506101,0.9658544444444445,0.3962667859996145
LBP (local),Logistic Regression,10,0.6806666666666666,0.6865512983764813,0.6666666666666667,0.6757695634243002,0.6803088574950544,0.6803088574950544,0.7541133333333333,0.22347213099965302
